open;high;low;close;volume;timestamp;symbol;lastrefreshed;interval;timezone
2714.54;2714.54;2696.86;2707.07;0;2018-07-02 02:00:00;^SPX;2018-07-02 02:00:00;240min;US/Eastern
2707.32;2708.07;2700.86;2703.09;0;2018-07-02 06:00:00;^SPX;2018-07-02 06:00:00;240min;US/Eastern
2703.33;2717.02;2698.85;2707.99;0;2018-07-02 10:00:00;^SPX;2018-07-02 10:00:00;240min;US/Eastern
2707.74;2726.85;2702.63;2725.89;0;2018-07-02 14:00:00;^SPX;2018-07-02 14:00:00;240min;US/Eastern
2725.90;2726.16;2723.18;2724.18;0;2018-07-02 18:00:00;^SPX;2018-07-02 18:00:00;240min;US/Eastern
2724.42;2731.39;2719.22;2722.24;0;2018-07-02 22:00:00;^SPX;2018-07-02 22:00:00;240min;US/Eastern
2722.00;2734.20;2720.50;2733.45;0;2018-07-03 02:00:00;^SPX;2018-07-03 02:00:00;240min;US/Eastern
2733.70;2740.02;2730.97;2737.04;0;2018-07-03 06:00:00;^SPX;2018-07-03 06:00:00;240min;US/Eastern
2737.29;2737.29;2710.93;2714.89;0;2018-07-03 10:00:00;^SPX;2018-07-03 10:00:00;240min;US/Eastern
2711.91;2714.91;2709.67;2712.18;0;2018-07-03 18:00:00;^SPX;2018-07-03 18:00:00;240min;US/Eastern
2712.43;2718.66;2711.44;2717.19;0;2018-07-03 22:00:00;^SPX;2018-07-03 22:00:00;240min;US/Eastern
2717.43;2722.19;2715.21;2721.19;0;2018-07-04 02:00:00;^SPX;2018-07-04 02:00:00;240min;US/Eastern
2720.95;2722.94;2717.74;2720.23;0;2018-07-04 06:00:00;^SPX;2018-07-04 06:00:00;240min;US/Eastern
2719.98;2721.50;2716.88;2720.88;0;2018-07-04 10:00:00;^SPX;2018-07-04 10:00:00;240min;US/Eastern
2720.13;2720.64;2713.80;2713.93;0;2018-07-04 18:00:00;^SPX;2018-07-04 18:00:00;240min;US/Eastern
2713.80;2720.90;2710.94;2714.19;0;2018-07-04 22:00:00;^SPX;2018-07-04 22:00:00;240min;US/Eastern
2713.69;2724.91;2711.72;2722.68;0;2018-07-05 02:00:00;^SPX;2018-07-05 02:00:00;240min;US/Eastern
2722.56;2733.85;2721.68;2730.12;0;2018-07-05 06:00:00;^SPX;2018-07-05 06:00:00;240min;US/Eastern
2730.37;2733.57;2715.69;2732.36;0;2018-07-05 10:00:00;^SPX;2018-07-05 10:00:00;240min;US/Eastern
2732.61;2738.09;2723.80;2736.85;0;2018-07-05 14:00:00;^SPX;2018-07-05 14:00:00;240min;US/Eastern
2735.17;2737.16;2731.20;2736.16;0;2018-07-05 18:00:00;^SPX;2018-07-05 18:00:00;240min;US/Eastern
2736.41;2743.15;2733.69;2739.42;0;2018-07-05 22:00:00;^SPX;2018-07-05 22:00:00;240min;US/Eastern
2739.17;2745.70;2733.03;2737.76;0;2018-07-06 02:00:00;^SPX;2018-07-06 02:00:00;240min;US/Eastern
2738.01;2742.77;2729.58;2736.02;0;2018-07-06 06:00:00;^SPX;2018-07-06 06:00:00;240min;US/Eastern
2735.77;2762.51;2733.04;2759.57;0;2018-07-06 10:00:00;^SPX;2018-07-06 10:00:00;240min;US/Eastern
